Date,Event,Type,Notes
1990-08-02,Gulf War begins,Conflict,Iraq invades Kuwait oil prices spike
1997-07-02,Asian Financial Crisis,Economic Shock,Demand collapse in Asia
2001-09-11,9/11 Attacks,Conflict,Global uncertainty oil volatility
2003-03-20,Iraq War begins,Conflict,US invasion of Iraq
2008-09-15,Global Financial Crisis,Economic Shock,Lehman collapse oil demand crash
2010-12-17,Arab Spring,Conflict,Regional instability in oil producers
2014-11-27,OPEC refuses cuts,OPEC Policy,Triggered oil price collapse
2018-05-08,US sanctions on Iran,Sanctions,Reduced Iranian exports
2020-03-11,COVID-19 pandemic,Economic Shock,Demand collapse negative WTI prices
2022-02-24,Russia–Ukraine war,Conflict,Supply fears price surge
